# NivelConfig
# Campos: nivel;xp_necessaria;pontos_atributo;pontos_aptidao;pontos_vantagem;limitador_atributo;permite_renascimento
# pontos_vantagem: campo no DTO mas IGNORADO pelo initializer (PontosVantagemConfig é a fonte real)
# permite_renascimento: setado inline no initializer como (nivel >= 31) — não vem do DTO
#
# === DECISÕES DE DESIGN ===
#
# PROGRESSÃO DE XP (fórmula triangular):
#   xp(N) = N*(N+1)/2 * 1000
#   Equivale a: cada nível N requer exatamente N*1.000 XP a mais que o nível anterior.
#   Exemplo: nível 1 custa 1.000 XP; nível 10 custa 10.000 XP; nível 35 custa 35.000 XP.
#   Total para nível 35 máximo: 630.000 XP acumulados.
#
# NÍVEL 0:
#   Estado base do personagem recém-criado. XP=0, todos os pontos=0, limitador=10.
#   Representa o personagem antes de qualquer evolução.
#
# LIMITADOR DE ATRIBUTO:
#   Níveis  0- 1: 10  (personagem iniciante, atributos muito restritos)
#   Níveis  2-20: 50  (progressão normal — faixa principal do jogo)
#   Níveis 21-25: 75  (tier intermediário — personagens veteranos)
#   Níveis 26-30: 100 (tier avançado — heróis de elite)
#   Níveis 31-35: 120 (tier de renascimento — personagens lendários)
#   O salto de 10→50 entre níveis 1 e 2 é intencional: nível 0/1 é o estado "tutorial".
#
# PONTOS DE ATRIBUTO E APTIDÃO:
#   Distribuição flat: 3 pontos de atributo + 1 ponto de aptidão por nível (exceto nível 0).
#   Design intencional — consistência e previsibilidade. Marcos (5, 10, 15, 20...) não têm
#   bônus extras pois a progressão do limitador já representa os marcos de poder.
#   Pontos de vantagem são gerenciados separadamente via PontosVantagemConfig.
nivel;xp_necessaria;pontos_atributo;pontos_aptidao;pontos_vantagem;limitador_atributo
0;0;0;0;0;10
1;1000;3;1;3;10
2;3000;3;1;3;50
3;6000;3;1;3;50
4;10000;3;1;3;50
5;15000;3;1;3;50
6;21000;3;1;3;50
7;28000;3;1;3;50
8;36000;3;1;3;50
9;45000;3;1;3;50
10;55000;3;1;3;50
11;66000;3;1;3;50
12;78000;3;1;3;50
13;91000;3;1;3;50
14;105000;3;1;3;50
15;120000;3;1;3;50
16;136000;3;1;3;50
17;153000;3;1;3;50
18;171000;3;1;3;50
19;190000;3;1;3;50
20;210000;3;1;3;50
21;231000;3;1;3;75
22;253000;3;1;3;75
23;276000;3;1;3;75
24;300000;3;1;3;75
25;325000;3;1;3;75
26;351000;3;1;3;100
27;378000;3;1;3;100
28;406000;3;1;3;100
29;435000;3;1;3;100
30;465000;3;1;3;100
31;496000;3;1;3;120
32;528000;3;1;3;120
33;561000;3;1;3;120
34;595000;3;1;3;120
35;630000;3;1;3;120
