# AptidaoConfig
# Campos: nome;tipo_aptidao_nome;descricao;ordem_exibicao
# tipo_aptidao_nome → referencia coluna 'nome' do arquivo 01-tipo-aptidao.csv (FISICA ou MENTAL)
nome;tipo_aptidao_nome;descricao;ordem_exibicao
Acrobacia;FISICA;Habilidade de realizar manobras acrobáticas;1
Guarda;FISICA;Capacidade de defesa e bloqueio;2
Aparar;FISICA;Habilidade de desviar ataques;3
Atletismo;FISICA;Força física e condicionamento;4
Resvalar;FISICA;Capacidade de esquiva e movimento ágil;5
Resistência;FISICA;Capacidade de resistir a condições adversas;6
Perseguição;FISICA;Habilidade de perseguir ou fugir;7
Natação;FISICA;Capacidade de nadar e manobras aquáticas;8
Furtividade;FISICA;Capacidade de se mover sem ser detectado;9
Prestidigitação;FISICA;Destreza manual e truques;10
Conduzir;FISICA;Habilidade de pilotar veículos e montarias;11
Arte da Fuga;FISICA;Capacidade de escapar de restrições;12
Idiomas;MENTAL;Conhecimento de línguas;13
Observação;MENTAL;Capacidade de notar detalhes;14
Falsificar;MENTAL;Habilidade de criar falsificações;15
Prontidão;MENTAL;Capacidade de reagir rapidamente;16
Auto Controle;MENTAL;Controle emocional e mental;17
Sentir Motivação;MENTAL;Capacidade de ler intenções;18
Sobrevivência;MENTAL;Conhecimento de técnicas de sobrevivência;19
Investigar;MENTAL;Habilidade de coletar e analisar informações;20
Blefar;MENTAL;Capacidade de enganar e mentir;21
Atuação;MENTAL;Habilidade de interpretar personagens;22
Diplomacia;MENTAL;Capacidade de negociação e persuasão;23
Operação de Mecanismos;MENTAL;Conhecimento de dispositivos mecânicos;24
