# VantagemConfig
# Campos: nome;sigla;descricao;nivel_maximo;formula_custo;descricao_efeito;tipo_vantagem;categoria_nome;ordem_exibicao
# sigla: 2-5 chars, ÚNICA cross-entity por jogo
# tipo_vantagem: VANTAGEM (comprada) ou INSOLITUS (concedida pelo Mestre)
# formula_custo: variáveis disponíveis: nivel, base, total, FOR, AGI, VIG, SAB, INTU, INT, AST
nome;sigla;descricao;nivel_maximo;formula_custo;descricao_efeito;tipo_vantagem;categoria_nome;ordem_exibicao
# === Treinamento Físico ===
Treinamento em Combate Ofensivo;TCO;Treinamento especializado em técnicas ofensivas de combate físico. O dado é elevado até D10 onde um novo dado se inicia no D3.;10;4;+1 B.B.A e 1 dado de dano (D3→D.UP) por nível;VANTAGEM;Treinamento Físico;1
Treinamento em Combate Defensivo;TCD;Treinamento especializado em técnicas defensivas. Os dados geram RD natural resistente a danos por contusão.;10;4;+1 Bloqueio e 1 dado de RD natural (D3→D.UP) por nível;VANTAGEM;Treinamento Físico;2
Treinamento em Combate Evasivo;TCE;Treinamento especializado em evasão. Recebe 2 de bônus de Reflexo por nível ao invés de 1.;10;2;+2 Reflexo por nível;VANTAGEM;Treinamento Físico;3
# === Treinamento Mental ===
Treinamento Mágico;TM;Treinamento especializado em técnicas mágicas. O dado é elevado até D10 onde um novo dado se inicia no D3.;10;4;+1 B.B.M e 1 dado de dano mágico (D3→D.UP) por nível;VANTAGEM;Treinamento Mental;4
Treinamento em Percepção Mágica;TPM;Treinamento em percepção de auras e manifestações mágicas. Recebe 2 de bônus por nível.;10;2;+2 Percepção por nível;VANTAGEM;Treinamento Mental;5
Treinamento Lógico;TL;Treinamento especializado em raciocínio lógico e dedutivo. Requer B.RAC 5+.;5;4;+1 B.B.M por nível;VANTAGEM;Treinamento Mental;6
Treinamento em Manipulação;TMA;Treinamento em técnicas mentais de manipulação. Requer B.B.M 8+.;3;3;+2 em Aptidões Mentais por nível;VANTAGEM;Treinamento Mental;7
# === Ação ===
Ataque Adicional;AA;Permite realizar um ataque extra após a ação ofensiva principal. Requer Bônus Ofensivo 15+.;1;10;Um ataque adicional após a ação ofensiva;VANTAGEM;Ação;8
Ataque Sentai;AS;Em ataque conjunto força percepção do alvo usando a maior soma dos atacantes. Requer Raciocínio 5+.;1;10;Ataque conjunto usa maior soma e força percepção do alvo;VANTAGEM;Ação;9
# === Reação ===
Contra-Ataque;CA;Pode reagir a um ataque atacando de volta com dificuldade +5. Requer Bônus Base 10+.;1;5;Reação: atacar de volta com dificuldade +5;VANTAGEM;Reação;10
Interceptação;ITC;Interrompe uma ação antes dela de fato acontecer. Requer Bônus Base 10+.;1;5;Reação: interrompe ação do oponente antes de ocorrer;VANTAGEM;Reação;11
Reflexos Especiais;RE;Reações padrão podem ser executadas utilizando habilidades especiais. Requer B.REF ou P.MAG 30+.;3;5;Reações padrão executadas com habilidades por nível;VANTAGEM;Reação;12
Instinto Heroico;IH;Usar a ação padrão para salvar um aliado em perigo iminente. Requer Bônus Ofensivo 18+.;1;5;Ação padrão usada para salvar um aliado;VANTAGEM;Reação;13
Deflexão Heroica;DH;Usar a ação padrão para salvar a si mesmo e outro com dificuldade +5. Requer Bônus Ofensivo 18+.;1;5;Ação padrão para salvar a si e outro com dificuldade +5;VANTAGEM;Reação;14
Instinto de Sobrevivência;ISB;Reduz somas de dificuldade para desviar ataques de múltiplos alvos. Requer Base Reflexos 7+.;3;3;-1 por nível na dificuldade ao desviar de ataques múltiplos;VANTAGEM;Reação;15
Reflexos Aprimorados;RA;Reduz somas de dificuldade para reduzir dano pela metade. Requer Base Reflexos 7+.;3;3;-1 por nível na dificuldade ao reduzir dano pela metade;VANTAGEM;Reação;16
# === Vantagem de Atributo ===
Capacidade de Força Máxima;CFM;Desbloqueia uso da Força máxima em danos por contusão. Desbloqueada a cada 10 em Força.;1;6;Concede 1D3 de dano por contusão com Força máxima;VANTAGEM;Vantagem de Atributo;17
Domínio de Força;DM;Eleva o dado de dano por contusão concedido pela Capacidade de Força Máxima. Requer CFM.;6;2;Eleva dado de dano por contusão 1x por nível (D3→D4→...→D9);VANTAGEM;Vantagem de Atributo;18
Tenacidade;TEN;Desbloqueia uso do Vigor máximo em RD por contusão. Desbloqueada a cada 10 em Vigor.;1;6;Concede 1D3 de RD por contusão com Vigor máximo;VANTAGEM;Vantagem de Atributo;19
Domínio de Vigor;DV;Eleva o dado de RD por contusão concedido pela Tenacidade. Requer Tenacidade.;2;2;Eleva dado de RD por contusão 1x por nível (D3→D4→D5);VANTAGEM;Vantagem de Atributo;20
Destreza Felina;DF;Reduz penalidades em locais e terrenos difíceis. Desbloqueada a cada 10 em Agilidade.;1;5;-1 em penalidade de local ou terreno difícil;VANTAGEM;Vantagem de Atributo;21
Sabedoria de Gamaiel;SG;Aumenta um aspecto mágico por nível. Aspectos: Dano, Defesa, Bônus, Duração ou Área. Desbloqueada a cada 10 em SAB.;3;3;+1 nível em aspecto mágico por nível de vantagem;VANTAGEM;Vantagem de Atributo;22
Sentidos Aguçados;SAG;Aguça um sentido específico concedendo bônus de percepção. Requer Sabedoria 3+.;5;3;+2 de Percepção em 1 sentido específico por nível;VANTAGEM;Vantagem de Atributo;23
Inteligência de Nyck;IN;Aumenta o multiplicador de raciocínio em 0.5x por nível. Requer Base de RAC 7+.;3;2;+0.5x no multiplicador de Raciocínio por nível;VANTAGEM;Vantagem de Atributo;24
# === Vantagem Geral ===
Saúde de Ferro;SFE;Aumenta os pontos de vida do personagem. Requer Vigor 3+.;4;3;+5 de Vida por nível;VANTAGEM;Vantagem Geral;25
Concentração;CONC;Aumenta os pontos de animus (essência) do personagem.;4;3;+5 de Animus por nível;VANTAGEM;Vantagem Geral;26
Saque Rápido;SRQ;Permite sacar armas sem gastar Ponto de Ação. Requer Agilidade 10+.;2;3;Saca armas sem custo de P.A por nível;VANTAGEM;Vantagem Geral;27
Ambidestria;AMB;Remove penalidade de usar mão não dominante. Domínio bilateral de armas e ações.;1;5;Domínio bilateral sem penalidade para mão não dominante;VANTAGEM;Vantagem Geral;28
