# ItemConfig
# Campos: nome;raridade_nome;tipo_nome;peso;valor;duracao_padrao;nivel_minimo;propriedades;descricao;ordem_exibicao
# raridade_nome → referencia 'nome' de 07-raridade-item-config.csv
# tipo_nome → referencia 'nome' de 14-tipo-item-config.csv (usar nomes já corrigidos com acentuação)
# REVISÃO: nomes com acentuação faltando (Lanca, Camisao de Malha, Pocao, Escudo de Aco, etc.)
nome;raridade_nome;tipo_nome;peso;valor;duracao_padrao;nivel_minimo;propriedades;descricao;ordem_exibicao
# === ARMAS ===
Adaga;Comum;Adaga;0.45;2;;1;finura, arremesso, leve;;1
Espada Curta;Comum;Espada Curta;0.90;10;;1;finura, leve;;2
Espada Longa;Comum;Espada Longa;1.36;15;;1;versátil;;3
Espada Longa +1;Incomum;Espada Longa;1.36;500;10;1;versátil, mágica;;4
Espada Longa +2;Raro;Espada Longa;1.36;5000;15;5;versátil, mágica;;5
Machadinha;Comum;Machado de Batalha;0.90;5;;1;leve, arremesso;;6
Machado de Batalha;Comum;Machado de Batalha;1.80;10;;1;versátil;;7
Machado Grande;Comum;Machado Grande;3.17;30;;3;pesado, duas mãos;;8
Martelo de Guerra;Comum;Martelo de Guerra;2.27;15;;1;versátil;;9
Arco Curto;Comum;Arco Curto;0.90;25;;1;duas mãos, munição;;10
Arco Longo;Comum;Arco Longo;1.80;50;;2;duas mãos, munição, pesado;;11
Arco Longo +1;Incomum;Arco Longo;1.80;500;10;4;duas mãos, munição, mágico;;12
Cajado de Madeira;Comum;Cajado;1.80;5;;1;versátil, duas mãos;;13
Cajado Arcano +1;Incomum;Cajado;2.00;500;10;3;mágico, foco arcano;;14
Lança;Comum;Lança;1.36;1;;1;arremesso, versátil;;15
# === ARMADURAS E ESCUDOS ===
Gibão de Couro;Comum;Armadura Leve;4.50;10;;1;armadura leve;;16
Couro Batido;Comum;Armadura Leve;11.30;45;;1;armadura leve;;17
Camisão de Malha;Comum;Armadura Média;13.60;50;;2;armadura média;;18
Cota de Escamas;Comum;Armadura Média;20.40;50;;3;armadura média, desvantagem Furtividade;;19
Cota de Malha;Comum;Armadura Pesada;27.20;75;;4;armadura pesada, Força mínima;;20
Meia Placa;Comum;Armadura Pesada;19.90;750;;5;armadura pesada;;21
Placa Completa;Raro;Armadura Pesada;29.50;1500;15;7;armadura pesada, mágica;;22
Escudo de Madeira;Comum;Escudo;2.72;10;;1;escudo;;23
Escudo de Aço;Comum;Escudo;2.72;20;;1;escudo;;24
Escudo Enfeitiçado +1;Incomum;Escudo;2.72;500;10;3;escudo, mágico;;25
# === ACESSÓRIOS E ITENS MÁGICOS ===
Anel da Força +1;Raro;Anel;0.01;2000;;5;mágico, único;;26
Anel de Proteção +1;Raro;Anel;0.01;2000;;5;mágico;;27
Amuleto de Saúde;Incomum;Amuleto;0.05;500;;3;mágico;;28
Amuleto da Essência;Incomum;Amuleto;0.05;500;;3;mágico;;29
Manto de Elvenkind;Muito Raro;Amuleto;0.45;5000;;7;mágico;;30
# === CONSUMÍVEIS ===
Poção de Cura Menor;Comum;Poção;0.45;25;1;1;consumível, recupera 5 de vida;;31
Poção de Cura;Comum;Poção;0.45;50;1;1;consumível, recupera 10 de vida;;32
Poção de Cura Superior;Incomum;Poção;0.45;200;1;3;consumível, recupera 25 de vida;;33
Flecha Comum (20);Comum;Munição;0.45;1;;1;munição para arcos;;34
Virote (20);Comum;Munição;0.36;1;;1;munição para bestas;;35
# === EQUIPAMENTOS DE AVENTURA ===
Kit de Aventureiro;Comum;Equipamento de Aventura;12.00;12;;1;mochila, ração 10 dias, corda, archote;;36
Kit de Curandeiro;Comum;Equipamento de Aventura;1.50;5;10;1;10 usos de bandagem, 5 usos de antídoto;;37
Kit de Ladrão;Comum;Equipamento de Aventura;0.90;25;;1;ferramentas de ladrão, forçado VIG para abrir fechaduras;;38
Lanterna Bullseye;Comum;Equipamento de Aventura;1.00;10;;1;iluminação direcional 18m, 6h de óleo;;39
Tomo Arcano;Comum;Equipamento de Aventura;1.50;25;;1;livro de feitiços para Magos e Feiticeiros;;40
