# ItemRequisito — requisitos para usar/equipar um item
# Campos: item_nome;tipo_requisito;alvo;valor_minimo
# item_nome → referencia 'nome' de 18-item-config.csv
# tipo_requisito: NIVEL, ATRIBUTO, BONUS, APTIDAO, VANTAGEM, CLASSE, RACA
# alvo: nome/sigla do alvo (ex: "FOR", "B.B.A", "Guerreiro")
# valor_minimo: valor mínimo exigido
item_nome;tipo_requisito;alvo;valor_minimo
# === ARMADURAS ===
Cota de Escamas;ATRIBUTO;FOR;12
Cota de Malha;ATRIBUTO;FOR;15
Meia Placa;ATRIBUTO;FOR;15
Placa Completa;ATRIBUTO;FOR;17
# === ARMAS ===
Machado Grande;ATRIBUTO;FOR;13
Arco Longo;ATRIBUTO;FOR;12
# === ITENS MÁGICOS ===
Cajado Arcano +1;ATRIBUTO;INT;12
